player_name,heisman_induct,college,position,HOF,pro_bowls,seasons,TDS,yards,all_pro,cny,rushing_titles,rushing_yards,passing_yards,rushing_tds,td_passes,career_points,combined_rry,all_nfl,receptions,receiving_yards,interceptions,sacks,tackles
OJ Simpson,1968,University of South Carolina,HB/FB/RB,1985,0,11,0,0,5,14368,4,11236,0,0,0,0,0,0,0,0,0,0,0
Roger Staubach,1963,Navy,QB/QB,1985,0,11,0,0,0,0,20,2264,22700,14368,153,0,0,0,0,0,0,0,0
Paul Hornung,1956,University of Notre Dame,HB/FB/HB,1986,2,9,0,0,0,0,0,3711,0,0,0,760,0,0,0,0,0,0,0
Doak Walker,1948,Southern Methodist University,HB/FB/RB,1986,5,6,0,0,0,0,0,0,0,0,0,534,4059,5,0,0,0,0,0
Earl Campbell,1977,University of Texas,HB/FB/RB,1991,5,8,74,9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Dorsett,1976,University of Pittsburg,HB/FB/RB,1994,0,12,91,0,0,0,0,12739,0,0,0,0,0,0,398,3554,0,0,0
Marcus Allen,1981,University of Southern California,HB/FB/RB,2003,5,16,145,0,0,0,0,12243,0,0,0,0,0,0,0,5411,0,0,0
Barry Sanders,1988,Oklahoma State University,HB/FB/RB,2004,0,10,109,0,8,0,0,15269,0,0,0,0,0,0,0,0,0,0,0
Tim Brown,1987,University of Notre Dame,WR/WR/KR/PR,2015,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1094,14934,0,0,0
Charles Woodson,1997,University of Michigan,HB/FB/RB,2021,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,20,1220
